Year,Source,URL,Letters,Words,Sentences,Paragraphs
2013,eju,https://eju.tv/2013/03/en-bolivia-sentimiento-de-prdida-del-mar-en-el-oriente-es-distinto-al-de-occidente/,9586,2030,81,37
2013,eju,https://eju.tv/2013/12/la-prostitucin-masculina-da-la-cara-en-la-paz-y-se-organiza/,5937,1256,55,24
2013,eju,https://eju.tv/2013/08/en-bolivia-crece-el-nmero-de-prestatarios-de-la-banca/,4479,952,46,23
2013,opinion,https://www.opinion.com.bo/articulo/informe-especial/unico-modelo-supero-crisis-economica-bolivia/20131110024700664637.html,3035,619,24,23
2013,eju,https://eju.tv/2013/09/en-bolivia-los-escaos-crean-disputa-entre-regiones-y-entre-campo-y-ciudad/,7925,1547,69,34
2013,eju,https://eju.tv/2013/02/corrupcin-en-la-bolivia-de-evo/,1075,214,9,7
2013,eju,https://eju.tv/2013/03/en-bolivia-abunda-venta-ilegal-de-gasolina-en-zonas-rojas-del-narcotrfico/,8274,1746,67,36
2013,opinion,https://www.opinion.com.bo/articulo/el-pais/bolivia-comprara-credito-frances-helicopteros-super-puma/20130929221100449443.html,1093,221,5,5
2013,eju,https://eju.tv/2013/12/estudiantes-extranjeros-dejan-bolivia-por-paraguay/,8343,1700,70,22
2013,eju,https://eju.tv/2013/11/bonos-sociales-alcanzan-a-3-1-millones-de-beneficiarios-en-bolivia/,2546,509,21,5
2013,,23,5487,1116,31,20
2013,eju,https://eju.tv/2013/08/en-bolivia-estn-registradas-64-empresas-de-televisin-por-cable/,4502,931,37,20
2013,dw,https://www.dw.com/es/bolivia-evaluar%C3%A1-consumo-nacional-de-hoja-de-coca/a-16777719,1876,392,15,7
2013,eju,https://eju.tv/2013/12/trabajo-infantil-afecta-a-800-mil-menores-en-bolivia/,4926,1026,36,28
2013,opinion,https://www.opinion.com.bo/articulo/ciencia-tecnolog-iacute/avanza-bolivia-estudio-nuevo-farmaco-mal-chagas/20130421055000468909.html,3952,793,23,22
2013,eju,https://eju.tv/2013/01/el-53-de-municipios-de-bolivia-no-aprovecha-la-internet/,2632,539,22,9
2013,eju,https://eju.tv/2013/02/19-nacionalizadas-en-bolivia-costarn-al-estado-ms-de-us-1-147-millones/,5026,934,27,20
2013,eju,https://eju.tv/2013/09/defensores-de-bolivia-ecuador-venezuela-y-per-debatirn-temas-de-inters-regional-en-santa-cruz/,1550,306,6,6
2013,bbc,https://www.bbc.com/mundo/ultimas_noticias/2013/03/130303_ultnot_bolivia_denunciara_a_chile_bd,1183,238,6,6
2014,opinion,https://www.opinion.com.bo/articulo/ramona/literatura-boliviana-posible/20141116193000668206.html,13447,2763,94,29
2014,investiga,https://investiga.eldeber.com.bo/seccion/trataytrafico/antonio-vaca.html,2439,553,27,9
2014,eju,https://eju.tv/2014/12/veronica-larrieula-enemiga-de-la-mujer-crucena-es-la-mujer-crucena/,4658,1053,53,3
2014,bolivia,https://www.bolivia.com/futbol/torneo-clausura/2013-2014/sdi506/83435/bolivar-confirma-contratacion-de-xabier-azkargorta,1977,413,13,12
